Quantity 1,Description,Customer Part No.,Mouser Part Number
38,UCM1H101MCL1GS,UCM1H101MCL1GS,UCM1H101MCL1GS
13,220 1210,CBPN-SZ7LV-220,603-RC1210FR-07220RL
21,LTST-C230GKT,LTST-C230GKT,LTST-C230GKT
49,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
55,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
14,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
39,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
34,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
16,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
6,ADUM4136BRWZ,ADUM4136BRWZ,ADUM4136BRWZ
22,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
16,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
13,0 1210,CBPN-VZZ88-0,603-AC1210JR-070RL
6,FBMJ1608HS220NTR,FBMJ1608HS220NTR,FBMJ1608HS220NTR
6,FM2000GP-TP,FM2000GP-TP,FM2000GP-TP
6,TBP01R1-508-04BE,TBP01R1-508-04BE,TBP01R1-508-04BE
6,BAT54WS-7-F,BAT54WS-7-F,BAT54WS-7-F
6,Thick Film Resistors - SMD 1210 6.8ohms 5% Tol AEC-Q200,CBPN-E4FXJ-68,667-ERJ-T14J6R8U
6,Conn_01x05_Socket,Conn_01x05_Socket,Conn_01x05_Socket
6,MGJ2D121509MPC-R7,MGJ2D121509MPC-R7,MGJ2D121509MPC-R7
6,Thick Film Resistors - SMD 1210 9.1ohms 0.5W 5% Tol AEC-Q200,CBPN-EVXOH-91,667-ERJ-P14J9R1U
4,Thick Film Resistors - SMD 1210 2Kohms 0.5W 5% AEC-Q200,CBPN-9GSLA-2k,667-ERJ-P14J202U
1,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,710-830003156B
16,Thick Film Resistors - SMD 1/2watt 249Kohms 1%,CBPN-MZWIW-250k,71-CRCW1210-249K-E3
2,1987724,1987724,1987724
3,TBP02R1-381-06BE,TBP02R1-381-06BE,TBP02R1-381-06BE
12,Thick Film Resistors - SMD 1210 1% 5.1Kohm Anti-Sulfur AEC-Q200,CBPN-OWA73-5k,667-ERJ-U14F5101U
16,SZMMSZ4678T1G,SZMMSZ4678T1G,SZMMSZ4678T1G
3,TBP02R1-381-02BE,TBP02R1-381-02BE,TBP02R1-381-02BE
6,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
1,MF-RHT200_32-2,MF-RHT200_32-2,MF-RHT200_32-2
3,AWHSH105D00G,AWHSH105D00G,AWHSH105D00G
1,2.54mm jumper,CBPN-CSKX4-254mmJumper,5-146277-2
1,NSD15-12S12,NSD15-12S12,NSD15-12S12
1,ISO1042BDWVR,ISO1042BDWVR,ISO1042BDWVR
4,MAX22530AWE+,MAX22530AWE+,MAX22530AWE+
1,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
2,DRDNB21D-7,DRDNB21D-7,DRDNB21D-7
2,1548129,1548129,1548129
1,TBP01R1-508-08BE,TBP01R1-508-08BE,TBP01R1-508-08BE
1,2.54mm 2pin 1row male,CBPN-LNT3S-conn01x02pin,538-22-28-4022
1,RD7-12S033R,RD7-12S033R,RD7-12S033R
1,MCP2515-e_ST,MCP2515-e_ST,MCP2515-e_ST
5,22pF 50V,CBPN-XGV7B-22pF,80-C1210C220J5G
4,Conn_01x02_Socket,Conn_01x02_Socket,Conn_01x02_Socket
1,S3N,S3N,S3N
1,120 1210,CBPN-K6UIE-120,603-AC1210FR-07120RL
